I [/root/cse532/mako/src/deptran/config.cc:269] 2025-12-24 01:52:11.402 | LoadYML: src/deptran/luigi/config/local-2shard-proc.yml
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.406 | DispatchOne: txn=92 ops=2 shards=2 keys=[key_96808->s0 key_72300->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.406 | DispatchOne: txn=93 ops=2 shards=2 keys=[key_81812->s1 key_24623->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.406 | DispatchOne: txn=94 ops=2 shards=2 keys=[key_89284->s0 key_36360->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.406 | DispatchOne: txn=95 ops=2 shards=2 keys=[key_95477->s1 key_70558->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.406 | DispatchOne: txn=96 ops=2 shards=1 keys=[key_80126->s0 key_73081->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.406 | DispatchOne: txn=97 ops=2 shards=1 keys=[key_13182->s0 key_15485->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.406 | DispatchOne: txn=98 ops=2 shards=2 keys=[key_40694->s0 key_2787->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.406 | DispatchOne: txn=99 ops=2 shards=2 keys=[key_51237->s1 key_2829->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.406 | DispatchOne: txn=100 ops=2 shards=2 keys=[key_8696->s0 key_92908->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.406 | DispatchOne: txn=101 ops=2 shards=2 keys=[key_47514->s0 key_46297->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.406 | DispatchOne: txn=102 ops=2 shards=1 keys=[key_24892->s0 key_73142->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.406 | DispatchOne: txn=103 ops=2 shards=1 keys=[key_54949->s0 key_65448->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.406 | DispatchOne: txn=104 ops=2 shards=2 keys=[key_46581->s1 key_75807->s0 ]
