site,workload,mode,conc,throughtput,latency50pct,latency90pct,latency99pct,fastpath_count,coordinatoraccept_count,original_count
20c1s3r1p,rw_1000000,copilot_plus,40,15401.6,51.18,60.01,65.66,307707,0,325
10c1s3r1p,rw_1000,mencius_plus,60,1814.2,280.35,723.83,933.86,11603,243,24438
10c1s3r1p,rw_1000,paxos_plus,90,9748.95,44.67,155.59,160.84,105369,4141,85469
20c1s3r1p,rw_1000,copilot_plus,80,8506.1,194.36,223.88,258.4,11948,55,158119
20c1s3r1p,rw_1000000,none_copilot,90,11425.4,162.2,190.47,200.55,,,
10c1s3r1p,rw_1000000,paxos_plus,40,9538.35,41.57,42.45,44.02,190681,0,86
20c1s3r1p,rw_1000000,paxos_plus,10,4924.6,40.52,40.79,41.26,98472,0,20
20c1s3r1p,rw_1000,mencius_plus,60,,,,,,,
10c1s3r1p,rw_1000000,mencius_plus,50,11694.75,42.09,43.74,47.42,233781,1,113
20c1s3r1p,rw_1000000,none_paxos,30,5064.55,114.79,143.66,148.77,,,
20c1s3r1p,rw_1,copilot_plus,30,3204.4,188.15,208.79,225.98,2,10,64076
20c1s3r1p,rw_1000000,none_mencius,3,520.95,116.97,129.01,146.55,,,
10c1s3r1p,rw_1000000,paxos_plus,3,745.4,40.23,40.31,40.44,14907,0,1
20c1s3r1p,rw_1,mencius_plus,200,,,,,,,
20c1s3r1p,rw_1000000,none_mencius,40,1633.85,481.92,811.51,920.44,,,
10c1s3r1p,rw_1,paxos_plus,90,5765.4,155.35,163.04,171.25,6,146,115156
10c1s3r1p,rw_1000,copilot_plus,80,4864.35,181.24,205.45,230.94,15114,55,82118
20c1s3r1p,rw_1000,paxos_plus,90,14123.65,160.64,182.1,202.88,96427,7334,178712
20c1s3r1p,rw_1000000,mencius_plus,200,16983.9,164.58,555.57,875.54,311066,2,28610
20c1s3r1p,rw_1,mencius_plus,90,,,,,,,
20c1s3r1p,rw_1000,paxos_plus,50,10361.2,49.2,157.81,165.4,106182,5096,95946
10c1s3r1p,rw_1,mencius_plus,60,,,,,,,
10c1s3r1p,rw_1000,copilot_plus,40,2906.0,170.76,191.8,210.03,18355,44,39721
10c1s3r1p,rw_1,paxos_plus,50,3295.05,152.01,154.15,157.55,3,189,65709
20c1s3r1p,rw_1000000,none_mencius,150,1918.75,1406.81,3722.61,4436.37,,,
20c1s3r1p,rw_1,mencius_plus,50,,,,,,,
20c1s3r1p,rw_1000,paxos_plus,120,14655.0,186.32,216.69,250.21,62799,6488,223813
20c1s3r1p,rw_1,paxos_plus,60,7242.75,165.08,179.75,188.78,11,113,144731
20c1s3r1p,rw_1,paxos_plus,200,16139.55,254.15,276.07,326.7,1,17,322773
10c1s3r1p,rw_1000000,copilot_plus,3,745.5,40.24,40.32,40.44,14910,0,0
10c1s3r1p,rw_1000000,mencius_plus,90,18055.55,48.33,56.16,61.34,360722,0,389
20c1s3r1p,rw_1000000,none_mencius,80,1015.1,1638.7,3108.9,3601.78,,,
10c1s3r1p,rw_1000,copilot_plus,1,240.0,40.21,40.32,150.5,4737,1,62
20c1s3r1p,rw_1000,copilot_plus,3,1007.15,46.34,151.1,191.66,17942,23,2178
20c1s3r1p,rw_1000,copilot_plus,40,4834.45,182.4,207.9,225.66,15419,94,81176
10c1s3r1p,rw_1000,paxos_plus,50,6502.55,41.03,151.83,156.36,87133,2303,40615
10c1s3r1p,rw_1000000,paxos_plus,80,16840.3,45.74,52.51,58.44,336489,0,317
20c1s3r1p,rw_1000000,none_copilot,50,8139.3,121.8,141.44,154.93,,,
10c1s3r1p,rw_1,mencius_plus,3,,,,,,,
20c1s3r1p,rw_1000000,copilot_plus,80,19520.2,75.85,112.21,153.75,387339,2,3063
20c1s3r1p,rw_1,copilot_plus,100,9637.45,205.97,236.44,265.52,1,7,192741
10c1s3r1p,rw_1000,copilot_plus,6,999.5,46.63,151.17,190.0,17786,20,2184
20c1s3r1p,rw_1000000,none_paxos,3,596.9,100.77,101.24,101.74,,,
20c1s3r1p,rw_1000000,none_mencius,200,1496.7,2859.52,5322.4,7910.99,,,
10c1s3r1p,rw_1,copilot_plus,80,4254.35,187.57,208.1,229.53,1,9,85077
10c1s3r1p,rw_1,paxos_plus,3,202.7,150.69,151.1,151.5,5,201,3848
20c1s3r1p,rw_1,paxos_plus,150,14752.5,205.5,223.9,253.93,1,32,295017
20c1s3r1p,rw_1000000,mencius_plus,80,22162.95,73.51,81.66,97.06,442141,1,1117
20c1s3r1p,rw_1000000,copilot_plus,6,2965.8,40.4,40.57,40.89,59309,0,7
10c1s3r1p,rw_1,copilot_plus,1,66.55,150.86,151.81,158.08,3,2,1326
10c1s3r1p,rw_1,mencius_plus,20,,,,,,,
10c1s3r1p,rw_1,copilot_plus,6,377.05,158.68,172.66,182.94,6,12,7523
20c1s3r1p,rw_1000,paxos_plus,10,3356.75,40.29,150.54,151.04,55292,391,11452
10c1s3r1p,rw_1,paxos_plus,10,668.5,150.74,151.24,151.73,2,231,13137
20c1s3r1p,rw_1,mencius_plus,10,915.2,219.46,281.45,297.11,3,62,18239
20c1s3r1p,rw_1000000,copilot_plus,1,497.2,40.23,40.3,40.42,9944,0,0
20c1s3r1p,rw_1,paxos_plus,20,2651.75,151.37,152.63,154.22,5,197,52833
10c1s3r1p,rw_1000000,copilot_plus,90,16883.45,51.57,62.41,69.47,337296,2,371
10c1s3r1p,rw_1000,paxos_plus,10,1914.5,40.24,150.34,151.02,34096,92,4102
20c1s3r1p,rw_1000000,copilot_plus,120,22351.05,95.73,150.69,343.19,425946,0,21075
20c1s3r1p,rw_1000000,paxos_plus,90,24047.6,74.42,93.1,111.74,479666,2,1284
20c1s3r1p,rw_1000000,none_copilot,10,1984.55,100.84,101.72,103.11,,,
10c1s3r1p,rw_1,paxos_plus,40,2654.75,151.22,152.35,154.01,2,219,52874
20c1s3r1p,rw_1000,paxos_plus,40,8947.5,44.54,156.1,162.75,102010,3881,73059
10c1s3r1p,rw_1,mencius_plus,70,,,,,,,
10c1s3r1p,rw_1000,copilot_plus,50,3388.75,174.2,197.0,215.47,17289,60,50426
20c1s3r1p,rw_1,paxos_plus,70,8318.3,,,,,,
20c1s3r1p,rw_1,mencius_plus,40,,,,,,,
10c1s3r1p,rw_1000000,mencius_plus,80,16784.95,46.11,52.31,58.49,335388,0,311
20c1s3r1p,rw_1,paxos_plus,100,11476.45,,,,,,
20c1s3r1p,rw_1000000,none_mencius,90,2353.3,761.27,1201.94,1595.51,,,
20c1s3r1p,rw_1000,copilot_plus,50,5810.05,185.5,209.95,233.54,14432,74,101695
10c1s3r1p,rw_1000,paxos_plus,40,5534.6,40.59,151.15,154.67,78592,1481,30619
20c1s3r1p,rw_1000000,none_copilot,40,7045.35,113.05,126.73,137.06,,,
10c1s3r1p,rw_1000000,paxos_plus,90,18148.75,47.9,55.26,61.76,362560,0,415
20c1s3r1p,rw_1,copilot_plus,200,16483.4,244.04,268.79,352.29,1,6,329661
10c1s3r1p,rw_1000000,mencius_plus,100,19349.4,49.95,58.63,65.83,386503,0,485
20c1s3r1p,rw_1,paxos_plus,6,801.05,150.77,151.34,151.92,5,237,15779
20c1s3r1p,rw_1000000,none_copilot,6,1194.0,100.6,100.99,101.55,,,
20c1s3r1p,rw_1000000,copilot_plus,90,20433.7,80.78,121.33,246.7,403072,4,5598
20c1s3r1p,rw_1,paxos_plus,1,135.35,150.72,151.19,151.61,14,125,2568
20c1s3r1p,rw_1000000,none_copilot,1,199.4,100.48,100.79,101.05,,,
20c1s3r1p,rw_1,copilot_plus,3,372.7,159.67,175.79,189.03,9,8,7437
20c1s3r1p,rw_1,mencius_plus,6,707.3,171.85,187.17,202.7,18,102,14026
10c1s3r1p,rw_1,copilot_plus,90,4712.7,191.02,211.8,229.74,2,7,94245
20c1s3r1p,rw_1000000,mencius_plus,90,24347.9,74.61,86.35,102.73,485620,9,1329
10c1s3r1p,rw_1000,copilot_plus,10,1340.5,49.6,173.07,202.42,21162,18,5630
10c1s3r1p,rw_1,mencius_plus,30,,,,,,,
20c1s3r1p,rw_1,mencius_plus,1,,,,,,,
20c1s3r1p,rw_1,paxos_plus,30,3959.4,,,,,,
20c1s3r1p,rw_1000000,none_mencius,100,2601.65,779.49,1256.18,1804.23,,,
10c1s3r1p,rw_1000000,copilot_plus,80,15510.95,49.7,60.69,66.96,309863,0,356
20c1s3r1p,rw_1,copilot_plus,150,13715.7,217.9,244.27,279.57,2,9,274303
20c1s3r1p,rw_1000,copilot_plus,10,1919.8,59.62,186.89,206.42,21831,37,16528
10c1s3r1p,rw_1,mencius_plus,100,,,,,,,
10c1s3r1p,rw_1000,copilot_plus,100,5743.35,186.42,211.1,229.38,13536,97,101234
20c1s3r1p,rw_1000000,paxos_plus,80,22489.2,72.08,80.12,95.28,448642,2,1140
20c1s3r1p,rw_1000000,mencius_plus,1,496.85,40.22,40.3,40.43,9936,0,1
10c1s3r1p,rw_1000000,paxos_plus,10,2468.2,40.48,40.73,41.01,49359,0,5
20c1s3r1p,rw_1000000,paxos_plus,40,16864.7,46.29,53.45,59.86,336977,0,317
10c1s3r1p,rw_1000,mencius_plus,30,2384.0,72.95,297.58,414.36,29455,340,17885
10c1s3r1p,rw_1000000,copilot_plus,40,9453.8,41.69,43.41,46.63,188989,0,87
10c1s3r1p,rw_1,paxos_plus,100,6378.9,156.51,162.44,171.85,1,151,127426
20c1s3r1p,rw_1000000,copilot_plus,10,4923.1,40.52,40.82,41.31,98440,0,22
20c1s3r1p,rw_1000000,mencius_plus,6,2968.05,40.38,40.56,40.88,59356,0,5
20c1s3r1p,rw_1000,mencius_plus,30,2591.5,167.43,545.65,915.61,25886,660,25284
20c1s3r1p,rw_1000000,mencius_plus,50,,,,,,,
20c1s3r1p,rw_1000000,none_paxos,60,8121.65,150.72,178.52,184.1,,,
10c1s3r1p,rw_1,copilot_plus,50,2753.75,180.72,202.0,215.64,1,10,55064
20c1s3r1p,rw_1000000,none_mencius,10,1058.95,196.87,255.08,310.79,,,
20c1s3r1p,rw_1,copilot_plus,60,6172.2,195.31,217.87,243.31,1,9,123434
20c1s3r1p,rw_1000,copilot_plus,200,16689.3,242.68,274.84,338.77,6960,75,326751
10c1s3r1p,rw_1000,mencius_plus,70,1870.45,298.8,858.7,1101.91,11697,252,25460
20c1s3r1p,rw_1000000,copilot_plus,50,16853.85,59.8,69.86,86.03,336577,7,493
10c1s3r1p,rw_1000000,mencius_plus,3,745.25,40.25,40.33,40.44,14905,0,0
10c1s3r1p,rw_1000,paxos_plus,80,9026.6,43.5,154.9,159.71,103210,3594,73728
20c1s3r1p,rw_1000,copilot_plus,90,9336.45,197.95,228.96,259.52,11645,86,174998
10c1s3r1p,rw_1000000,paxos_plus,50,11673.05,42.12,43.73,47.02,233327,0,134
20c1s3r1p,rw_1000000,none_copilot,80,10877.55,146.7,174.89,192.45,,,
10c1s3r1p,rw_1,copilot_plus,10,593.8,168.12,188.89,203.06,6,15,11855
20c1s3r1p,rw_1000,mencius_plus,70,2132.95,629.24,1325.37,1479.13,9814,314,32531
20c1s3r1p,rw_1000000,mencius_plus,10,,,,,,,
20c1s3r1p,rw_1000000,mencius_plus,100,,,,,,,
20c1s3r1p,rw_1000000,none_paxos,20,3807.3,103.77,111.85,119.18,,,
10c1s3r1p,rw_1000000,mencius_plus,40,,,,,,,
20c1s3r1p,rw_1000000,none_mencius,50,1993.1,524.88,734.99,1042.04,,,
