I [/root/cse532/mako/src/deptran/config.cc:269] 2025-12-24 01:36:46.124 | LoadYML: src/deptran/luigi/config/local-2shard-proc.yml
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.167 | DispatchOne: txn=122 ops=2 shards=1 keys=[key_97837->s1 key_37657->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.167 | DispatchOne: txn=123 ops=2 shards=2 keys=[key_68693->s1 key_90172->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.167 | DispatchOne: txn=124 ops=2 shards=1 keys=[key_54041->s1 key_44958->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.167 | DispatchOne: txn=125 ops=2 shards=1 keys=[key_13944->s0 key_99630->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.167 | DispatchOne: txn=126 ops=2 shards=2 keys=[key_77386->s0 key_51394->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.167 | DispatchOne: txn=127 ops=2 shards=1 keys=[key_10608->s0 key_24283->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.167 | DispatchOne: txn=128 ops=2 shards=1 keys=[key_19773->s0 key_92141->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.167 | DispatchOne: txn=129 ops=2 shards=2 keys=[key_64907->s1 key_31634->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.167 | DispatchOne: txn=130 ops=2 shards=1 keys=[key_42627->s0 key_76934->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.167 | DispatchOne: txn=131 ops=2 shards=2 keys=[key_62312->s1 key_93719->s0 ]
